Sr.No,Product Name,Prices,Image ulrs,ratings
1,"
            Boat A 350 USB Type C Cable 1.5M for Personal Computer (Black)
        ",₹249,"https://images-eu.ssl-images-amazon.com/images/I/41dkvETWzWL._AC._SR180,230.jpg","26,422"
2,"
            Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable For Usb Type C Devices, Charging Adapter (White, 1 Meter) - Xcd-C12
        ",₹69,"https://images-eu.ssl-images-amazon.com/images/I/211us7OArJL._AC._SR180,230.jpg",108
3,"
            Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (Grey)
        ",₹149,"https://images-eu.ssl-images-amazon.com/images/I/31VzNhhqifL._AC._SR180,230.jpg","12,315"
4,"
            Mi USB Type-C Cable for Mi Smartphone (Black)
        ",₹229,"https://images-eu.ssl-images-amazon.com/images/I/31XO-wfGGGL._AC._SR180,230.jpg","25,483"
5,"
            boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)
        ",₹249,"https://images-eu.ssl-images-amazon.com/images/I/41V5FtEWPkL._AC._SR180,230.jpg","82,695"
6,"
            Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey)
        ",₹149,"https://images-eu.ssl-images-amazon.com/images/I/31dJ+lXJq3L._AC._SR180,230.jpg","8,605"
7,"
            boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black)
        ",₹249,"https://images-eu.ssl-images-amazon.com/images/I/41SDfuK7L2L._AC._SR180,230.jpg","82,695"
8,"
            Wayona Nylon Braided WN3LG1 USB Syncing and Charging Cable for iOS Devices (3 FT Pack of 1, Grey)
        ",₹379,"https://images-eu.ssl-images-amazon.com/images/I/51UsScvHQNL._AC._SR180,230.jpg","19,033"
9,"
            Ambrane Unbreakable 3A Fast Charging Braided Type C Cable – 1.5 Meter (RCT15 (A), Black) Supports QC 2.0/3.0 Charging
        ",₹179,"https://images-eu.ssl-images-amazon.com/images/I/31zOsqQOAOL._AC._SR180,230.jpg","34,400"
10,"
            Boat USB 2.0 Type C Cable for Personal Computer (Black)
        ",₹149,"https://images-eu.ssl-images-amazon.com/images/I/41xwPQLxTML._AC._SR180,230.jpg","28,788"
11,"
            TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3
        ",₹499,"https://images-eu.ssl-images-amazon.com/images/I/41WAS1QqFWL._AC._SR180,230.jpg","163,258"
12,"
            TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3
        ",₹499,"https://images-eu.ssl-images-amazon.com/images/I/41WAS1QqFWL._AC._SR180,230.jpg","163,258"
13,"
            Tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV
        ",₹279,"https://images-eu.ssl-images-amazon.com/images/I/31MIyzg8uzL._AC._SR180,230.jpg","8,324"
14,"
            Portronics Konnect B Micro USB Cables For Fast Charging & Data Sync 3.0 Amp with PVC Heads I Nylon Braided I 1 mtr(Black)
        ",₹139,"https://images-eu.ssl-images-amazon.com/images/I/31aC-p-+NPL._AC._SR180,230.jpg",353
15,"
            Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White)
        ",₹149,"https://images-eu.ssl-images-amazon.com/images/I/41R08zLK69L._AC._SR180,230.jpg","1,888"
16,"
            ZEBRONICS Zeb-HAA3020 (3 Meter/9 feet) HDMI Cable Supports 3D, ARC & CEC Extension, Compatible with HDMI-Enabled TV, Blu-ray, Playstation (Gold Plated Connectors)
        ",₹349,"https://images-eu.ssl-images-amazon.com/images/I/41Z-IoM9n1L._AC._SR180,230.jpg","1,722"
17,"
            Tizum High Speed HDMI Cable with Ethernet | Supports 3D, 4K | for All HDMI Devices, Laptop, Computer, Gaming Console, TV, Set Top Box (1.8 Meter332215014973
        ",₹219,"https://images-eu.ssl-images-amazon.com/images/I/41da4tk7N+L._AC._SR180,230.jpg","7,463"
18,"
            BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D, 4K 60Hz, Audio Return - Latest Version (6.6 Feet / 2 Meters)
        ",₹529,"https://images-eu.ssl-images-amazon.com/images/I/41k0WxE3sKS._AC._SR180,230.jpg","40,435"
19,"
            Portronics Konnect L 60W PD Type C to Type C Mobile Charging Cable, 1.2M, Fast Data Sync, Tangle Resistant, TPE+Nylon Braided(Grey)
        ",₹139,"https://images-eu.ssl-images-amazon.com/images/I/41ngtt1EmoL._AC._SR180,230.jpg",277
20,"
            ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes with Advanced Security WPA/WPA2 encryption Standards
        ",₹299,"https://images-eu.ssl-images-amazon.com/images/I/317-HiMYIgS._AC._SR180,230.jpg",481
21,"
            YANTRALAY SCHOOL OF GADGETS Universal 360° Rotating Vertical Mobile Tripod Monopod Mount Supports Width Upto 2.3-4.1 Inches Smartphones
        ",₹149,"https://images-eu.ssl-images-amazon.com/images/I/41d9kuM1TWL._AC._SR180,230.jpg",852
22,"
            TP-Link Nano AC600 USB Wi-Fi WiFi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop, Mini Travel Size, Supports Windows 10, 8.1, 8, 7, XP/Mac OS X
        ",₹899,"https://images-eu.ssl-images-amazon.com/images/I/41R-5SBcfwL._AC._SR180,230.jpg","49,036"
23,"
            Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop
        ",₹139,"https://images-eu.ssl-images-amazon.com/images/I/41Jp23BB40S._AC._SR180,230.jpg",456
24,"
            boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black)
        ","₹14,499","https://m.media-amazon.com/images/I/41rUpquzA5S._AC._SR180,230.jpg",10
25,"
            Introducing Fire TV Stick 4K Max streaming device, Alexa Voice Remote (includes TV controls)| 2021 release
        ",₹149,"https://m.media-amazon.com/images/I/41AP5QV2M0L._AC._SR180,230.jpg",13
26,"
            Samsung 25 W Travel Adapter for Cellular Phones-White
        ",₹299,"https://m.media-amazon.com/images/I/21AXN0W6IvL._AC._SR180,230.jpg",10
27,"
            ZEBRONICS Zeb-PIXAPLAY 15 Android Smart LED Projector with WiFi/BT v5.1, FHD 1080p, Apps, Miracast DLNA/Airplay Support, 3400 Lumen, 30000H lifespan, HDMI, 2X USB Speaker and Remote Control
        ","₹4,274","https://m.media-amazon.com/images/I/31F+WKkYTLL._AC._SR180,230.jpg",13
28,"
            Boat A 350 USB Type C Cable 1.5M for Personal Computer (Black)
        ",₹999,"https://m.media-amazon.com/images/I/31X88-g024L._AC._SR180,230.jpg","82,695"
29,"
            Blaupunkt SBA20 16W Bluetooth Soundbar for TV with Bluetooth/SD Card/Aux, Mini Sound/Audio System for TV Speakers, Mobile, PC, Projectors, Tablets, Laptops
        ","₹9,020","https://m.media-amazon.com/images/I/41EBGRKooiL._AC._SR180,230.jpg","1,452"
