Sr.No,GPU Name,Prices,link
1,"ASUS TUF Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card, LHR TUF-RTX3080-10G-V2-GAMING",699,https://www.newegg.com/asus-geforce-rtx-3080-tuf-rtx3080-10g-v2-gaming/p/N82E16814126560?Item=N82E16814126560&Description=3080&cm_re=3080-_-14-126-560-_-Product
2,"GIGABYTE GeForce RTX 3080 EAGLE 10GB Video Card, GV-N3080EAGLE-10GD",699,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080eagle-10gd/p/N82E16814932367?Item=N82E16814932367&Description=3080&cm_re=3080-_-14-932-367-_-Product
3,GIGABYTE Gaming OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080GAMING OC-10GD (rev. 2.0) (LHR),799,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-10gd/p/N82E16814932459R?Item=N82E16814932459R&Description=3080&cm_re=3080-_-14-932-459R-_-Product
4,"GIGABYTE GeForce RTX 3080 VISION OC 10GB Video Card, GV-N3080VISION OC-10GD",799,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080vision-oc-10gd/p/N82E16814932337R?Item=N82E16814932337R&Description=3080&cm_re=3080-_-14-932-337R-_-Product
5,"GIGABYTE GeForce RTX 3080 GAMING OC 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 384-bit GDDR6X, GV-N3080GAMING OC-12GD Video Card",799,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-12gd/p/N82E16814932489?Item=N82E16814932489&Description=3080&cm_re=3080-_-14-932-489-_-Product
6,"EVGA GeForce RTX 3080 XC3 BLACK GAMING Video Card, 10G-P5-3881-KR, 10GB GDDR6X, iCX3 Cooling, ARGB LED",809,https://www.newegg.com/evga-geforce-rtx-3080-10g-p5-3881-kr/p/N82E16814487522?Item=N82E16814487522&Description=3080&cm_re=3080-_-14-487-522-_-Product
7,PC Game Pass - 3 Month Membership US [Digital Code] and GIGABYTE GeForce RTX 3080 GAMING OC 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080GAMING OC-12GD Video Card,819,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493664
8,GIGABYTE Vision OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080VISION OC-10GD (rev. 2.0) (LHR),829,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080vision-oc-10gd/p/N82E16814932460R?Item=N82E16814932460R&Description=3080&cm_re=3080-_-14-932-460R-_-Product
9,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and GIGABYTE GeForce RTX 3080 GAMING OC 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080GAMING OC-12GD Video Card,838,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493576
10,Tiny Tina's Wonderlands [Epic Online Game Code] and GIGABYTE GeForce RTX 3080 GAMING OC 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080GAMING OC-12GD Video Card,841,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493532
11,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-grade Certification, GPU Tweak II)",849,https://www.newegg.com/asus-geforce-rtx-3080-tuf-rtx3080-o10g-v2-gaming/p/N82E16814126525?Item=N82E16814126525&Description=3080&cm_re=3080-_-14-126-525-_-Product
12,MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 10G OC LHR,849,https://www.newegg.com/msi-geforce-rtx-3080-rtx-3080-ventus-3x-plus-10g-oc-lhr/p/N82E16814137686R?Item=N82E16814137686R&Description=3080&cm_re=3080-_-14-137-686R-_-Product
13,ELDEN RING - PC [Steam Online Game Code] and GIGABYTE GeForce RTX 3080 GAMING OC 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080GAMING OC-12GD Video Card,854,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493952
14,"GIGABYTE GeForce RTX 3080 GAMING OC 10GB Video Card, GV-N3080GAMING OC-10GD",859,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-10gd/p/N82E16814932329R?Item=N82E16814932329R&Description=3080&cm_re=3080-_-14-932-329R-_-Product
15,ASUS TUF Gaming NVIDIA GeForce RTX 3080 TUF-RTX3080-10G-GAMING Video Card,874,https://www.newegg.com/asus-geforce-rtx-3080-tuf-rtx3080-10g-gaming/p/N82E16814126453?Item=N82E16814126453&Description=3080&cm_re=3080-_-14-126-453-_-Product
16,"GIGABYTE AORUS GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 GAMING BOX, LHR GV-N3080IXEB-10GD (rev. 2.0)",899,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080ixeb-10gd/p/N82E16814932530?Item=N82E16814932530&Description=3080&cm_re=3080-_-14-932-530-_-Product
17,GIGABYTE Eagle GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080EAGLE-10GD (rev. 2.0) (LHR),899,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080eagle-10gd/p/N82E16814932461?Item=N82E16814932461&Description=3080&cm_re=3080-_-14-932-461-_-Product
18,"GIGABYTE AORUS GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card, LHR GV-N3080AORUSX WB-10GD REV2.0",909,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080aorusx-wb-10gd-rev2-0/p/N82E16814932525?Item=N82E16814932525&Description=3080&cm_re=3080-_-14-932-525-_-Product
19,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and MSI Ventus GeForce RTX 3080 Video Card RTX 3080 VENTUS 3X PLUS 12G OC LHR,938,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493569
20,GIGABYTE AORUS GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 GAMING BOX GV-N3080IXEB-10GD,949,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080ixeb-10gd/p/N82E16814932529?Item=N82E16814932529&Description=3080&cm_re=3080-_-14-932-529-_-Product
21,PC Game Pass - 3 Month Membership US [Digital Code] and MSI Gaming GeForce RTX 3080 Video Card RTX 3080 GAMING Z TRIO 12G LHR,969,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493662
22,PC Game Pass - 3 Month Membership US [Digital Code] and ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0 12GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification GPU Tweak),979,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493385
23,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and MSI Gaming GeForce RTX 3080 Video Card RTX 3080 GAMING Z TRIO 12G LHR,988,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493574
